participant,vowel,sound_start,sound_end,task,word,utterance,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,fol.phonOLOG.seg,fol.PHONETIC.seg,prec.phonOLOG.seg,prec.PHONETIC.seg,normF1_20,normF1_35,normF1_50,normF1_65,normF1_80,normF2_20,normF2_35,normF2_50,normF2_65,normF2_80,duration,changeF1,normChangeF1,changeF2,normChangeF2,TrajLength,norm_TL,sex,age,roland.rolling,tauto.l,breaking.word,prec.seg,syl.type,outcode,CofP
Ali,goat,2063.355,2063.453,interview,GOING,but our intention wasn't anything bad we were just going there to see the view,473.72,499.79,517.65,523.62,517.28,1537.95,1430.01,1355.38,1314.35,1214.56,ɪ,syl.n,g,g,0.975858294685639,1.02956222473388,1.0663536397957,1.07865177797706,1.06559144362701,1.22879638118088,1.14255412272991,1.08292599832565,1.05014371312792,0.970413168651155,0.0979999999999563,43.5599999999999,0.0897331489413712,-323.39,-0.25838321252972,329.23420538691,0.287467894430063,M,adolescent,not.rolling,ok,ok,velar,medial.open,2,youthclub
Ali,goat,2077.818,2077.896,interview,ONLY,that's the only reason we went,564.53,526.62,560.43,507.53,587.21,1585.08,1508.58,1502.03,1643.59,1996.78,n,n,schwa,ə,1.16292595435887,1.08483174691242,1.15447999681388,1.0455065445871,1.20964651951016,1.26645246456789,1.20533024137446,1.2000969006958,1.31320097801949,1.59539389317881,0.0779999999999745,22.6800000000001,0.0467205651512925,411.7,0.328941428610921,633.004398262713,0.652531905593997,M,adolescent,not.rolling,ok,ok,vowel,coda.nasal,2,youthclub
Ali,goat,2184.947,2185.044,interview,ONLY,y- nah I'm only doing,543.79,507.14,513.37,491.96,423,1379.57,1382.81,1454.65,1552.49,1407.73,n,n,schwa,ə,1.12020176911911,1.04470314862551,1.0575368841146,1.0134325058126,0.871375619885217,1.10225340458773,1.10484211051122,1.16224107148136,1.24041359850418,1.12475277458939,0.0969999999997526,-120.79,-0.24882614923389,28.1600000000001,0.0224993700016605,369.404022169458,0.407302487732854,M,adolescent,not.rolling,ok,ok,vowel,coda.nasal,2,youthclub
Ali,goat,2252.643,2252.729,interview,SLOW,yeah very slow,539.93,533.64,508.92,496.3,525.52,1716.64,1660.79,1660.21,1601.92,1710.69,0,0,sl,l,1.11225020908895,1.09929287422115,1.04836993019382,1.02237286087242,1.08256575830279,1.37156670879439,1.32694349094664,1.326480080627,1.27990734350354,1.36681275810157,0.0859999999997854,-14.41,-0.0296844507861607,-5.95000000000005,-0.00475395069282247,253.196848636259,0.256444081073738,M,adolescent,not.rolling,ok,ok,approx.glide,final.open,2,youthclub
Amanda,goat,44.602,44.69,interview,GO,and ((then)) she said she went to go see if he was there uh,501.6,532.57,589.84,527.22,470.37,1743.93,1830.72,1866.6,1888.3,1842.33,s,s,g,g,0.848746147013037,0.901149791696039,0.998055078457277,0.892097176292292,0.79590256214219,1.12224877388824,1.17809962288205,1.20118901638242,1.21515333742362,1.18557085639764,0.088000000000001,-31.23,-0.0528435848708476,98.3999999999999,0.0633220825093916,299.115341884067,0.383719042124706,F,adolescent,not.rolling,ok,ok,velar,final.open,1,youthclub
Amanda,goat,99.981,100.085,interview,KNOW,I used to li- +live -- you know the red bricks,657.15,622.87,613.01,620.13,611.56,1696.96,1721.09,1709.1,1715.04,1830.14,ð,ð,n,n,1.11194882477994,1.05394440309013,1.03726051750491,1.0493081103413,1.03480700491885,1.09202277576359,1.10755084335456,1.09983507334147,1.10365756490759,1.17772638296482,0.103999999999999,-45.59,-0.0771418198610934,133.18,0.0857036072012272,182.135620714318,0.166543017082752,F,adolescent,not.rolling,ok,ok,nasal,final.open,1,youthclub
Amanda,goat,109.021,109.121,interview,KNOW,I used to live you know those tall white flats,699.54,717.78,745.06,757.71,759.62,1786.09,1795.32,1898.36,1906.51,1990.62,ð,ð,n,n,1.18367599617524,1.21453949243026,1.26069937060114,1.28210415281748,1.2853360211205,1.14937945476828,1.15531911758903,1.22162711943627,1.22687178379045,1.28099800695981,0.0999999999999943,60.08,0.101660024945262,204.53,0.131618552191523,226.212199302871,0.188483271418183,F,adolescent,not.rolling,ok,ok,nasal,final.open,1,youthclub
Amanda,goat,110.988,111.057,interview,YKNOW,yknow those two whi- +white -- two tall white flats near,682.21,710.01,750.06,744.63,738.58,1693.47,1742.22,1796.02,1800.53,1814.74,ð,ð,jn,n,1.15435229057768,1.20139204912426,1.26915975882895,1.25997177721355,1.24973470745791,1.08977690108922,1.12114835964951,1.1557695795581,1.15867184167312,1.16781621964526,0.0690000000000026,56.37,0.0953824168802331,121.27,0.0780393185560355,145.692955987741,0.156002398736136,F,adolescent,not.rolling,ok,ok,nasal,final.open,1,youthclub
Amanda,goat,171.149,171.245,interview,SO,and they ((just have)) so many mattresses out there,746.69,735.86,739.07,668.14,562.06,1320.88,1422.52,1498.31,1495.11,1525.71,m,m,s,s,1.26345745716341,1.24513225626199,1.25056382550424,1.13054475810465,0.951049161463612,0.850008865294767,0.915415943203858,0.964188104112261,0.962128849396508,0.981820472615892,0.0960000000000036,-184.63,-0.312408295699795,204.83,0.131811607321125,359.480730683503,0.417608597816073,F,adolescent,not.rolling,ok,ok,coronal,final.open,1,youthclub
Amanda,goat,178.448,178.526,interview,SO,yeah like it's actually so disgusting,591.27,576.03,564.98,557.15,565.32,1801.48,1916.47,2050.98,2012.04,2069.63,d,d,s,s,1.00047474949043,0.974687486172089,0.955990028188648,0.942741060223911,0.956565334588139,1.15928318291686,1.23328121409323,1.31984069903569,1.29478214321338,1.33184229292594,0.078000000000003,-25.9499999999999,-0.0439094149022892,268.15,0.172559110009079,348.84467647144203,0.234818487547098,F,adolescent,not.rolling,ok,ok,coronal,final.open,1,youthclub
Amanda,goat,180.392,180.453,interview,HOME,and when you're going home so late sometimes they're just standing like ba- +basically --,922.2,919.28,887.34,870.04,863.22,1859.96,1805.79,1782.56,1773.84,1773.45,m,m,h,h,1.56043400473569,1.55549313801066,1.50144817801146,1.47217523474327,1.46063526520055,1.19691606284723,1.16205674161214,1.14710783940997,1.14149637030954,1.14124539864106,0.0610000000000071,-58.98,-0.0997987395351454,-86.51,-0.0556706642061735,119.947438429522,0.132630668810841,F,adolescent,not.rolling,ok,ok,other,coda.nasal,1,youthclub
Amanda,goat,180.619,180.735,interview,SO,and when you're going home so late sometimes they're just standing like ba- +basically --,783.88,756.87,762.49,722.95,608.11,1926.03,1849.79,1877.16,1935.85,1982.59,l,l,s,s,1.32638582480179,1.28068280759521,1.29019228396326,1.22328753385781,1.02896933704166,1.23943323755654,1.19037149395373,1.2079845569444,1.2457525754655,1.27583056465747,0.116000000000014,-175.77,-0.297416487760131,56.5599999999999,0.0363973271009266,303.578167751792,0.36052821779061,F,adolescent,not.rolling,ok,ok,coronal,final.open,1,youthclub
Amanda,goat,183.826,183.907,interview,WINDOW,I have my window and then I have like some like bushes and that and they're just sitting out there like w-,580.95,574.2,578.8,577.38,584.66,1783.36,1684.22,1710.26,1743.26,1819.68,æ,ə,d,d,0.983012508188246,0.971590984080714,0.979374541250291,0.976971790993596,0.989290116253274,1.14762265308891,1.0838243679265,1.10058155317593,1.12181761743213,1.1709951941127,0.0810000000000173,3.70999999999992,0.00627760806502853,36.3200000000002,0.0233725410237917,235.609211426671,0.155357712521004,F,adolescent,not.rolling,ok,ok,coronal,final.open,1,youthclub
Amanda,goat,230.118,230.175,interview,DON'T,I think it's normal I feel . like I don't feel,589.07,599.53,612.34,615.08,617.03,1832.72,1897.13,1860.8,1886.77,1937.01,nt,ʔ,d,d,0.996752178670195,1.01445131084276,1.03612682548238,1.04076311823122,1.04406266964006,1.17938665707939,1.2208355934049,1.19745661721012,1.21416875626265,1.24649905529996,0.0570000000000164,27.9599999999999,0.0473104909698653,104.29,0.0671123982205737,180.168048926116,0.126792308119245,F,adolescent,not.rolling,ok,ok,coronal,coda.nasal,1,youthclub
Amanda,goat,231.597,231.677,interview,GO,I don't feel like scared to go home or,583.49,581.85,578.8,575.8,567.52,1689.08,1647.15,1688.08,1694.86,1639.97,h,h,g,g,0.987310385407969,0.98453537806925,0.979374541250291,0.97429830831361,0.960287905408371,1.08695186102605,1.0599691890787,1.08630834392737,1.09067138985638,1.05534873631023,0.0799999999999841,-15.97,-0.0270224799995978,-49.1099999999999,-0.0316031247158151,145.930604181995,0.0986583432085097,F,adolescent,not.rolling,ok,ok,velar,final.open,1,youthclub
Amanda,goat,231.733,231.816,interview,HOME,I don't feel like scared to go home or,581.73,605.01,602.03,596.06,565.14,1726.68,1901.31,1940.08,1947.09,1887.87,m,m,h,h,0.984332328751783,1.02372389634043,1.01868150495666,1.00857980141266,0.956260760611938,1.11114810393614,1.22352549487735,1.24847465279289,1.25298570765459,1.21487662507119,0.0829999999999984,-16.59,-0.0280715681398451,161.19,0.103728521135049,291.073016160911,0.220325163500906,F,adolescent,not.rolling,ok,ok,other,coda.nasal,1,youthclub
Amanda,goat,233.186,233.314,interview,KNOW,even like you know . basically cos it's Ramadan now like we have like night time prayers and that,764.07,818.1,789.87,844.89,755.06,1660.63,1684.11,1746.53,1901.7,1921.61,0,0,n,n,1.29286576664324,1.38428872183287,1.3365213698987,1.42961948195743,1.27762014705675,1.06864379956881,1.08375358104564,1.12392191834479,1.22377646654583,1.23658889198041,0.12799999999998601,-9.01000000000011,-0.0152456195864983,260.98,0.167945092411596,384.063971496139,0.444134954378026,F,adolescent,not.rolling,ok,ok,nasal,final.open,1,youthclub
