participant,vowel,sound_start,sound_end,task,word,utterance,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,fol.phonOLOG.seg,fol.PHONETIC.seg,prec.phonOLOG.seg,prec.PHONETIC.seg,normF1_20,normF1_35,normF1_50,normF1_65,normF1_80,normF2_20,normF2_35,normF2_50,normF2_65,normF2_80,duration,changeF1,normChangeF1,changeF2,normChangeF2,TrajLength,norm_TL,sex,age,roland.rolling,tauto.l,breaking.word,prec.seg,syl.type,outcode,CofP
Ali,price,1638.876,1638.964,interview,MY,my dad n-,770.86,842.38,867.56,792.45,760.29,1254.8,1348.71,1367.47,1442.41,1508.15,d,d,m,m,1.58796361783621,1.73529407725511,1.78716461651919,1.63243879427433,1.56618952728731,1.00256425703421,1.07759677964983,1.09258570654014,1.15246151577041,1.20498667855128,0.0879999999999654,-10.5700000000001,-0.021774090548905,253.35,0.202422421517068,328.729593957429,0.469781427616587,M,adolescent,n.a.,ok,ok,nasal,final.open,2,youthclub
Ali,price,1698.553,1698.642,interview,LIKE,nah it's it's like plant,832.27,833.45,835.46,828.41,803.97,1457.57,1427.27,1406.77,1374.66,1299.64,k,ʔ,sl,l,1.71446758194296,1.7168983697242,1.72103894891088,1.7065160219128,1.6561698749861,1.16457410274574,1.14036490846128,1.12398575061206,1.09833039653701,1.03839066864197,0.0889999999999418,-28.3,-0.0582977069568598,-157.93,-0.126183434103772,162.696762898947,0.148984436894466,M,adolescent,n.a.,ok,ok,approx.glide,closed,2,youthclub
Ali,price,1732.583,1732.706,interview,FLIES,there was too many flies about,823.3,818.59,800.17,763.79,686.36,1574.13,1565.63,1595.91,1630.48,1628.28,z,z,fl,l,1.69598947482624,1.68628692359773,1.64834191433464,1.57339949104523,1.41389449282368,1.25770359732647,1.25091223919387,1.27510545381213,1.30272630682909,1.30096854354771,0.12299999999982,-136.94,-0.282094982002557,54.1499999999999,0.0432649462212322,172.807073714895,0.29622979969435,M,adolescent,n.a.,ok,ok,approx.glide,closed,2,youthclub
Ali,price,1737.134,1737.27,interview,TRY,I'd try eat,797.63,840.4,832.56,794.19,755.41,1575.77,1564.67,1587.24,1667.95,1804.36,i,i,tr,tʃ,1.64310954063604,1.73121529775777,1.71506497894004,1.63602317625683,1.55613677781913,1.25901392995441,1.25014521521654,1.26817826851688,1.33266421144422,1.44165352472286,0.135999999999967,-42.22,-0.0869727628169124,228.59,0.182639594768449,299.261537454611,0.349900382510753,M,adolescent,n.a.,ok,ok,approx.glide,final.open,2,youthclub
Ali,price,1739.137,1739.275,interview,FLY,I would try eat a fly would jump on my food,819.9,873.57,832.27,802.43,666.08,1478.75,1544.41,1483.97,1431.17,1354.93,w,w,fl,l,1.68898551003284,1.79954515428636,1.71446758194296,1.65299749093261,1.37211790282068,1.18149656924557,1.23395781336165,1.18566726212229,1.14348094336918,1.08256645583628,0.138000000000147,-153.82,-0.316867607212161,-123.82,-0.0989301134092888,374.873003351363,0.582164848659823,M,adolescent,n.a.,ok,ok,approx.glide,final.open,2,youthclub
Ali,price,1741.691,1741.768,interview,FLY,then I would get rid of that fly then two other flies would jump on it again,787.9,734.19,689.68,668.72,622.7,1556.17,1591.77,1644.76,1653.67,1641.3,ð,ð,fl,l,1.62306584138904,1.51242379754971,1.42073365844548,1.37755627548379,1.28275555201543,1.24335385708394,1.2717976629099,1.31413578849186,1.32125472978145,1.31137130624024,0.0769999999999982,-165.2,-0.340310289373612,85.1299999999999,0.0680174491562975,204.068870518407,0.354307623524186,M,adolescent,n.a.,ok,ok,approx.glide,final.open,2,youthclub
Ali,price,1770.055,1770.154,interview,DRIVE,you can drive a car at any age and my dad goes Somalia quite often,597.66,679.97,695.99,692.43,679.92,1498.84,1467.09,1400.12,1402.54,1385.91,v,v,dr,dʒ,1.23117341130165,1.40073115899137,1.43373219310618,1.42639862996955,1.40062815950912,1.1975481439378,1.17218042385425,1.11867251160244,1.12060605121195,1.10731895877134,0.0989999999999327,82.26,0.169454748207466,-112.93,-0.0902291851664592,182.195406410159,0.270889520140735,M,adolescent,n.a.,ok,ok,approx.glide,closed,2,youthclub
Ali,price,1771.574,1771.66,interview,MY,you can drive a car at any age and my dad goes Somalia quite often,706.14,723.89,759.83,737.63,708.75,1254.99,1289.27,1429.89,1432.8,1524.03,d,d,m,m,1.45464108800413,1.49120590420499,1.56524193205056,1.51951016192892,1.46001766097789,1.00271606386306,1.03010521172019,1.14245824473274,1.14478328616402,1.2176745335096,0.0860000000000127,2.61000000000001,0.00537657297376004,269.04,0.214958469646544,301.824982781524,0.320116968630207,M,adolescent,n.a.,ok,ok,nasal,final.open,2,youthclub
Ali,price,1778.09,1778.15,interview,MY,and he would -- and there I would -- he would -- I would go with my cousin and drive it around,669.4,702.4,732.26,734.67,731.88,1069.97,1113.77,1171.86,1176.48,1177.2,k,k,m,m,1.37895706844247,1.44693672673139,1.50844801753463,1.51341259257937,1.50766522146949,0.854888171899022,0.889883640864673,0.936296581326194,0.939987884217092,0.940563152200089,0.0600000000001728,62.48,0.128708153027018,107.23,0.0856749803010665,128.247484707233,0.165478301023016,M,adolescent,n.a.,ok,ok,nasal,final.open,2,youthclub
Ali,price,1778.95,1779.047,interview,DRIVE,and he would -- and there I would -- he would -- I would go with my cousin and drive it around,658.75,634.46,699.63,700.98,649.99,1331.37,1329.2,1327.28,1425.25,1353.93,v,v,dr,ɹ,1.35701817872196,1.30698103024202,1.44123055541441,1.44401154143532,1.33897266943072,1.06374240905932,1.06200861527723,1.06047456732257,1.13875096217565,1.08176747252656,0.09699999999998,-8.75999999999999,-0.0180455092912399,22.5600000000002,0.0180250634672392,275.237130949123,0.382151384425377,M,adolescent,n.a.,ok,ok,approx.glide,closed,2,youthclub
